Articulo,PVP,Precio_actual,enlace
pr111a0qd-b11,"229,95","137,95",https://www.zalando.es/pretty-ballerinas-bailarinas-camel-pr111a0qd-b11.html
pr113a018-k15,"99,95","39,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-blue-pr113a018-k15.html
pr111a0hu-k11,"179,95","98,95",https://www.zalando.es/pretty-ballerinas-angelis-bailarinas-harborcobaltoxide-azulon-pr111a0hu-k11.html
pr111a0bb-j11,"169,95","118,95",https://www.zalando.es/pretty-ballerinas-ami-bailarinas-rosecoco-pr111a0bb-j11.html
pr111e03r-q11,"249,95","99,95",https://www.zalando.es/pretty-ballerinas-mocasines-black-pr111e03r-q11.html
pr111b02i-g11,"194,95","126,95",https://www.zalando.es/pretty-ballerinas-shade-tacones-rubi-pr111b02i-g11.html
pr111a03c-k11,"129,95","90,95",https://www.zalando.es/pretty-ballerinas-bailarinas-navy-blu-pr111a03c-k11.html
pr113a018-a13,"99,95","39,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-offwhite-pr113a018-a13.html
pr113a01l-a11,,"129,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-perla-pr113a01l-a11.html
pr111a0qi-q11,"204,95","133,95",https://www.zalando.es/pretty-ballerinas-shade-bailarinas-con-hebilla-black-pr111a0qi-q11.html
pr113a01a-b11,"119,95","47,95",https://www.zalando.es/pretty-ballerinas-shade-bailarinas-beigeblack-pr113a01a-b11.html
pr111a0df-c11,"129,95","90,95",https://www.zalando.es/pretty-ballerinas-angelis-bailarinas-pr111a0df-c11.html
pr111a0cf-d11,"139,95","97,95",https://www.zalando.es/pretty-ballerinas-ami-bailarinas-plata-pr111a0cf-d11.html
pr111a0qf-m11,"229,95","114,95",https://www.zalando.es/pretty-ballerinas-bailarinas-pink-pr111a0qf-m11.html
pr111a0h8-q11,,"189,95",https://www.zalando.es/pretty-ballerinas-jungla-mocasines-nube-black-pr111a0h8-q11.html
pr111e03t-q11,"269,95","134,95",https://www.zalando.es/pretty-ballerinas-mocasines-black-pr111e03t-q11.html
pr113a018-j16,,"109,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-pink-pr113a018-j16.html
pr113a01f-q12,,"119,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-black-pr113a01f-q12.html
pr111a0qa-q11,"93,95","84,95",https://www.zalando.es/pretty-ballerinas-bailarinas-black-pr111a0qa-q11.html
pr113a018-d12,,"109,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-silver-colored-pr113a018-d12.html
pr111a0qq-q11,"204,95","112,95",https://www.zalando.es/pretty-ballerinas-angelis-structure-bailarinas-schwarz-pr111a0qq-q11.html
pr111b02s-t11,"234,95","129,95",https://www.zalando.es/pretty-ballerinas-tacones-black-pr111b02s-t11.html
pr111a0qk-i11,"169,95","93,95",https://www.zalando.es/pretty-ballerinas-angelis-bailarinas-moradoblack-pr111a0qk-i11.html
pr113a019-i12,,"99,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-cycla-pr113a019-i12.html
pr111n01p-q11,"269,95","148,95",https://www.zalando.es/pretty-ballerinas-botines-angelis-nessa-pr111n01p-q11.html
pr111a0do-q12,"169,95","135,95",https://www.zalando.es/pretty-ballerinas-bailarinas-black-pr111a0do-q12.html
pr113a019-q11,"99,95","49,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-blacksilver-pr113a019-q11.html
pr111b02j-q11,"179,95","98,95",https://www.zalando.es/pretty-ballerinas-tacones-black-pr111b02j-q11.html
pr111a0d5-b11,"129,95","90,95",https://www.zalando.es/pretty-ballerinas-angelis-bailarinas-safari-pr111a0d5-b11.html
pr111a0nm-m11,"179,95","107,95",https://www.zalando.es/pretty-ballerinas-afrodite-do-adonis-bailarinas-green-pr111a0nm-m11.html
pr111e03q-q11,"101,95","92,95",https://www.zalando.es/pretty-ballerinas-mocasines-black-pr111e03q-q11.html
pr111a0qe-k11,,"229,95",https://www.zalando.es/pretty-ballerinas-bailarinas-navyoxide-pr111a0qe-k11.html
pr111e03u-q11,"184,95","120,95",https://www.zalando.es/pretty-ballerinas-mocasines-black-pr111e03u-q11.html
pr113a019-i11,"99,95","49,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-kylie-nightviola-pr113a019-i11.html
pr111a0dd-q11,"134,95","107,95",https://www.zalando.es/pretty-ballerinas-shade-bailarinas-pr111a0dd-q11.html
pr113a018-a14,,"109,95",https://www.zalando.es/pretty-ballerinas-hannah-bailarinas-con-hebilla-perla-pr113a018-a14.html
pr111a0of-q12,,"189,95",https://www.zalando.es/pretty-ballerinas-shade-bailarinas-black-pr111a0of-q12.html
pr111a03f-o11,"129,95","90,95",https://www.zalando.es/pretty-ballerinas-angelis-bailarinas-pr111a03f-o11.html
pr111a0od-q11,"154,95","100,95",https://www.zalando.es/pretty-ballerinas-shade-bailarinas-black-pr111a0od-q11.html
